nohup: ignoring input
Files already downloaded and verified
Files already downloaded and verified
Epoch~1->train_loss:4.1902, val_loss:3.7384, val_accu:0.1114, time:49.8957
Epoch~2->train_loss:3.5684, val_loss:3.3048, val_accu:0.1992, time:49.2999
Epoch~3->train_loss:3.1199, val_loss:2.9743, val_accu:0.2633, time:49.0682
Epoch~4->train_loss:2.7578, val_loss:2.6235, val_accu:0.325, time:49.7591
Epoch~5->train_loss:2.4132, val_loss:2.2618, val_accu:0.4183, time:49.1403
Epoch~6->train_loss:2.1098, val_loss:2.0804, val_accu:0.4496, time:48.9289
Epoch~7->train_loss:1.9002, val_loss:1.9466, val_accu:0.4812, time:48.092
Epoch~8->train_loss:1.7385, val_loss:1.8742, val_accu:0.499, time:45.7079
Epoch~9->train_loss:1.6328, val_loss:1.7251, val_accu:0.5244, time:48.9329
Epoch~10->train_loss:1.537, val_loss:1.6827, val_accu:0.5403, time:45.6013
Epoch~11->train_loss:1.4686, val_loss:1.5767, val_accu:0.5604, time:49.5566
Epoch~12->train_loss:1.4051, val_loss:1.5967, val_accu:0.5662, time:48.3701
Epoch~13->train_loss:1.352, val_loss:1.5508, val_accu:0.5805, time:49.26
Epoch~14->train_loss:1.3103, val_loss:1.5067, val_accu:0.5896, time:49.2225
Epoch~15->train_loss:1.2762, val_loss:1.4901, val_accu:0.599, time:48.7957
Epoch~21->train_loss:1.1207, val_loss:1.4787, val_accu:0.6045, time:49.2411
Epoch~24->train_loss:1.0748, val_loss:1.4762, val_accu:0.6061, time:49.3763
Epoch~25->train_loss:1.0599, val_loss:1.4031, val_accu:0.6264, time:49.6273
Epoch~29->train_loss:1.0202, val_loss:1.3859, val_accu:0.6312, time:48.7496
Epoch~40->train_loss:0.9466, val_loss:1.4834, val_accu:0.6315, time:50.326
Epoch~44->train_loss:0.923, val_loss:1.3512, val_accu:0.6483, time:48.9698
Epoch~75->train_loss:0.8459, val_loss:1.3613, val_accu:0.6487, time:47.6206
Epoch~79->train_loss:0.8355, val_loss:1.3629, val_accu:0.6541, time:44.7576
Epoch~98->train_loss:0.832, val_loss:1.3069, val_accu:0.6582, time:47.0551
Epoch~101->train_loss:0.3882, val_loss:0.9518, val_accu:0.7545, time:48.9511
Epoch~102->train_loss:0.2589, val_loss:0.9634, val_accu:0.7581, time:49.6156
Epoch~104->train_loss:0.178, val_loss:1.0063, val_accu:0.7612, time:48.9008
Epoch~129->train_loss:0.0354, val_loss:1.1844, val_accu:0.7623, time:47.5559
Epoch~153->train_loss:0.0215, val_loss:1.1582, val_accu:0.7629, time:49.6835
Epoch~154->train_loss:0.0196, val_loss:1.1495, val_accu:0.7651, time:47.9955
Epoch~155->train_loss:0.0183, val_loss:1.15, val_accu:0.7666, time:49.4008
Epoch~157->train_loss:0.0157, val_loss:1.1428, val_accu:0.7703, time:47.1581
Epoch~160->train_loss:0.0133, val_loss:1.1293, val_accu:0.771, time:49.6962
Epoch~163->train_loss:0.0124, val_loss:1.1323, val_accu:0.7726, time:48.5404
Epoch~166->train_loss:0.0108, val_loss:1.1289, val_accu:0.773, time:49.4937
